CONTRACT #;*FUNCTION;*ACTIVITY*;SUN;MON;TUE ;WED;THR;FRI;TOTAL HOUR;NAME;WEEK;Year
6008;400;2000;;8;;;;4;12;BS;27;2025
4425;400;5000;;;8;8;8;4;28;BS;27;2025
6011;400;400;;4;;;;;4;UU;27;2025
6008;400;400;;4;;;;;4;UU;27;2025
6004;800;400;;;5;;;;5;UU;27;2025
6004;800;600;;;3;;;;3;UU;27;2025
6004;800;400;;;;5;;;5;UU;27;2025
6004;800;600;;;;3;;;3;UU;27;2025
6011;400;1000;;;;;2;;2;UU;27;2025
6010;400;2000;;;;;2;;2;UU;27;2025
6011;300;700;;;;;2;;2;UU;27;2025
6010;300;700;;;;;2;;2;UU;27;2025
6008;400;200;;;;;;2;2;UU;27;2025
6012;400;5000;;;;;;2;2;UU;27;2025
6008;400;400;;;;;;4;4;UU;27;2025
4426;500;5000;;1;1;;;;2;CÇ;27;2025
4426;400;7000;;1,5;1;;;;2,5;CÇ;27;2025
4426;300;600;;1;2;;;;3;CÇ;27;2025
4425;400;8000;;;1;;;;1;CÇ;27;2025
6006;400;8000;;2;;1;2;2;7;KP;27;2025
6003;400;7000;;1;3;1;;;5;KP;27;2025
6006;400;8000;;5;4;4;5;4;22;AEA;27;2025
6006;400;7000;;3;4;3;3;4;17;AEA;27;2025
6003;400;7000;;;;1;;;1;AEA;27;2025
4384;400;8000;;2;3;3;1;1;10;BP;27;2025
4425;400;8000;;2;1;1;2;1;7;BP;27;2025
6007;400;8000;;2;1;1;4;4;12;BP;27;2025
6012;400;8000;;;2;;;;2;BP;27;2025
6008;400;5000;;6;7;;7;5;25;MA;27;2025
6011;400;5000;;;;6;;;6;MA;27;2025
6011;400;1000;;2;;;1;4;7;RP;27;2025
6004;400;7000;;4;8;;;3;15;RP;27;2025
6011;400;7000;;1;;;;;1;RP;27;2025
6011;400;2000;;1;;;;;1;RP;27;2025
6011;400;6000;;7;;;;;7;SA;27;2025
6011;400;7000;;1;;;;;1;SA;27;2025
6004;400;7000;;;8;;1;7;16;SA;27;2025
6008;400;5000;;5;5;5;5;;20;OS;27;2025
4426;400;5000;;;;;;7;7;OS;27;2025
6004;400;5000;;;;;1;;1;OS;27;2025
6006;400;5000;;5;;;;;5;MY;27;2025
4425;400;7000;;;5;;;;5;MY;27;2025
6001;400;5000;;;;4;;;4;MY;27;2025
4425;400;5000;;;;2;1;1;4;MY;27;2025
6004;400;5000;;;;;5;;5;MY;27;2025
4384;400;5000;;;;;;1;1;MY;27;2025
6008;400;5000;;;;;;3;3;MY;27;2025
6012;400;2000;;7;6;4;2;5;24;UK;27;2025
6012;400;7000;;1;;1,5;0,5;;3;UK;27;2025
6007;400;2000;;;;;2;;2;UK;27;2025
6007;400;700;;;;;3;3;6;UK;27;2025
6007;400;700;;;2;2;;;4;UK;27;2025
6007;400;8000;;;;0,5;0,5;;1;UK;27;2025
4411;400;8000;;;;2;1;;3;YK;27;2025
6001;400;8000;;0,5;;2;;1;3,5;YK;27;2025
6010;400;1000;;2;1;3;2;;8;YK;27;2025
6010;400;8000;;;2;1;;1;4;YK;27;2025
6001;400;7000;;2,5;;;3;3,5;9;YK;27;2025
